mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:bf:af,1496395305973671,0,0,0,0,0,0,0,0,FAILURE,856902503671
e4:b3:18:9f:c0:36,1496395305973666,0,0,0,0,0,0,0,0,FAILURE,856902503666
e4:b3:18:9f:bf:96,1496395305973662,0,0,0,0,0,0,0,0,FAILURE,856902503662
e4:b3:18:9f:c1:8f,1496395305973690,0,0,0,0,0,0,0,0,FAILURE,856902503690
e4:b3:18:9f:c0:04,1496395305962232,63,0,0,0,0,1294,0,0,SUCCESS,856902492232
e4:b3:18:9f:c0:18,1496395306012029,79,0,0,0,0,2555,0,0,SUCCESS,856902542029
e4:b3:18:9f:bf:87,1496395306535678,0,0,0,0,0,0,0,0,FAILURE,856903065678
e4:b3:18:9f:c0:b3,1496395306535677,0,0,0,0,0,0,0,0,FAILURE,856903065677
44:85:00:c5:69:d5,1496395306535673,0,0,0,0,0,0,0,0,FAILURE,856903065673
44:85:00:c5:67:3c,1496395306535669,0,0,0,0,0,0,0,0,FAILURE,856903065669
e4:b3:18:9f:bf:b4,1496395306975009,0,0,0,0,0,0,0,0,FAILURE,856903505009
44:85:00:c5:6c:19,1496395306975007,0,0,0,0,0,0,0,0,FAILURE,856903505007
44:85:00:c5:69:a8,1496395306823112,63,0,0,0,0,517,0,0,SUCCESS,856903353112
44:85:00:c5:67:37,1496395306835380,66,0,0,0,0,593,0,0,SUCCESS,856903365380
e4:b3:18:9f:c1:4e,1496395306975030,0,0,0,0,0,0,0,0,FAILURE,856903505030
e4:b3:18:9f:c1:99,1496395307140795,0,0,0,0,0,0,0,0,FAILURE,856903670794
e4:b3:18:9f:bf:af,1496395307947789,0,0,0,0,0,0,0,0,FAILURE,856904477789
e4:b3:18:9f:c0:36,1496395307947785,0,0,0,0,0,0,0,0,FAILURE,856904477785
e4:b3:18:9f:bf:96,1496395307947779,0,0,0,0,0,0,0,0,FAILURE,856904477779
e4:b3:18:9f:c1:8f,1496395307947772,0,0,0,0,0,0,0,0,FAILURE,856904477772
e4:b3:18:9f:c0:04,1496395307934229,72,0,0,0,0,1345,0,0,SUCCESS,856904464229
e4:b3:18:9f:c0:18,1496395307982883,85,0,0,0,0,2547,0,0,SUCCESS,856904512882
e4:b3:18:9f:bf:87,1496395308508806,0,0,0,0,0,0,0,0,FAILURE,856905038806
