mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:bf:af,1496399974522379,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399974522418,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399974522373,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496399974522368,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399974507362,70,0,0,0,0,1468,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399974560940,81,0,0,0,0,3042,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496399975088938,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399975088931,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399975088928,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496399975088942,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399975125807,78,0,0,0,0,1240,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399975418488,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:a8,1496399975266210,72,0,0,0,0,632,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496399975278919,53,0,0,0,0,399,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399975418415,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399975584087,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496399976388515,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399976388511,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399976388508,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496399976388505,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399976375964,71,0,0,0,0,1519,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399976424293,82,0,0,0,0,2785,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496399976950648,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399976950645,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399976950638,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496399976950634,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399976987568,83,0,0,0,0,1006,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399977280439,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:a8,1496399977127764,72,0,0,0,0,697,0,0,SUCCESS,8.62E+11
