mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:c3:63:ec,1488809464650887,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:63:e2,1488809464650886,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:62:a2,1488809464650888,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:be,1488809464650888,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:b9,1488809464650888,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:aa,1488809465444758,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:87,1488809465444759,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:9b,1488809465444758,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:94,1488809465444759,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:4f,1488809465444760,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:31,1488809465751961,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:62:d9,1488809465751961,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:af,1488809466494237,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:36,1488809466494237,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:96,1488809466494236,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:8f,1488809466494237,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:04,1488809466494237,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:18,1488809467272677,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:87,1488809467272679,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:b3,1488809467272679,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:69:d5,1488809467272678,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:67:3c,1488809467272679,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:b4,1488809467723087,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6c:19,1488809467723087,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:69:a8,1488809467723087,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:67:37,1488809468209644,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:4e,1488809468209644,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:99,1488809468209644,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:fc,1488809468233800,-58,0,0,0,0,480,0,0,SUCCESS,0.00E+00
44:85:00:c5:69:da,1488809468398977,-64,0,0,0,0,505,0,0,SUCCESS,0.00E+00
44:85:00:c5:6b:74,1488809468419585,-72,0,0,0,0,765,0,0,SUCCESS,0.00E+00
44:85:00:c5:6b:83,1488809469173340,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:a5,1488809469173341,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:8a,1488809470052753,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:91,1488809470052753,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6b:6f,1488809470052753,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:53,1488809470052754,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6b:7e,1488809470052754,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:e8,1488809470795141,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:d6,1488809470795142,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:de,1488809470795141,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6b:10,1488809470795142,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:f5,1488809470795142,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:63:ec,1488809471896040,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:63:e2,1488809471896040,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:62:a2,1488809471896040,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
