,lat,long,mac
0,32.108754,34.805301,E4:B3:18:9F:BF:AF
1,32.108786,34.805222,E4:B3:18:9F:C0:36
2,32.108852,34.805256,E4:B3:18:9F:BF:96
3,32.108688,34.805488,E4:B3:18:9F:C1:8F
4,32.108843,34.805099,E4:B3:18:9F:C0:04
5,32.108914,34.805083,E4:B3:18:9F:C0:18
6,32.108794,34.805157,E4:B3:18:9F:BF:87
7,32.108655,34.80546,E4:B3:18:9F:C0:B3
8,32.108923,34.805318,44:85:00:C5:69:D5
9,32.108839,34.805361,44:85:00:C5:67:3C
10,32.10883,34.805022,E4:B3:18:9F:BF:B4
11,32.108765,34.805101,44:85:00:C5:6C:19
12,32.108703,34.805061,44:85:00:C5:69:A8
13,32.108709,34.805065,44:85:00:C5:67:37
14,32.108794,34.805564,E4:B3:18:9F:C1:4E
15,32.108754,34.805419,E4:B3:18:9F:C1:99
